;ORTIGIA CC;TELIMAR;CUS PALERMO;PELOROROW;LAURIA CCR;Numero Gara;Orario;Specialità;Tipo Gara;PALERMO SC;THALATTA SC;CUS CATANIA;PARADISO CN;PELOROROW2;CUS PALERMO2;MESSINA CN;PELOROROW1;TELIMAR1;PELORO CC;CARIDDI CC;PELOROROW4;LAURIA CCR2;AUGUSTA CN;AUGUSTA CN1;MARSALA SC;PARADISO CN1;MESSINA CN1;UN SICILIANA;PALERMO SC1;CUS PALERMO4;LAURIA CCR1;PALERMO SC2
0;Bosco Matteo;Caltabellotta Nicolo';Del Bosco Sergio;Landi Matteo;Basile Mario;1;10:00;QUATTRO DI COPPIA Under 19 M;Finale;;;;;;;;;;;;;;;;;;;;;;;
1;D'aquila Angelo;Guccione Giorgio;Di Liberto Angelo;Giacoppo Andrea;Buccheri Francesco;1;10:00;QUATTRO DI COPPIA Under 19 M;Finale;;;;;;;;;;;;;;;;;;;;;;;
2;Tata Flavio Sebastiano;Lo Piparo Manfredi Nicolo';Inzerillo Mattia;Frisone Riccardo;Butera Lorenzo;1;10:00;QUATTRO DI COPPIA Under 19 M;Finale;;;;;;;;;;;;;;;;;;;;;;;
3;Zanin Lorenzo;Schillaci Andrea Giuseppe;Mancuso Morgan;Tassone Bruno;Trupia Dario;1;10:00;QUATTRO DI COPPIA Under 19 M;Finale;;;;;;;;;;;;;;;;;;;;;;;
0;;;;;;2;10:08;QUATTRO SENZA Senior A M;Finale;Zerilli Mario Pietro;Longo Francesco;;;;;;;;;;;;;;;;;;;;;
1;;;;;;2;10:08;QUATTRO SENZA Senior A M;Finale;D'amico Angelo;Arena Manuel;;;;;;;;;;;;;;;;;;;;;
2;;;;;;2;10:08;QUATTRO SENZA Senior A M;Finale;Francaviglia Luca;Saija Augusto;;;;;;;;;;;;;;;;;;;;;
3;;;;;;2;10:08;QUATTRO SENZA Senior A M;Finale;Galletto Calogero;Salemme Nazzareno;;;;;;;;;;;;;;;;;;;;;
0;;Mandala' Alessio;;LucÀ Alessandro;;3;10:18;SINGOLO Cadetti M;Finale;;;Turco Alberto Nunzio Giorgio;Marino Bruno;;;;;;;;;;;;;;;;;;;
0;Pugliares Ettore;;Randazzo Andrea;Lisciotto Emilio Franc;Ribaudo Gabriele;4;10:26;DOPPIO Cadetti M;Finale;;;D'augusta Flavio;;Donato Matteo;Messina Alessandro;;;;;;;;;;;;;;;;;
1;Leone Sebastiano;;Vitrano Michele;Visalli Lorenzo;Morello Angelo;4;10:26;DOPPIO Cadetti M;Finale;;;Tudisco Diego;;Genovese Giorgio;Messina Francesco;;;;;;;;;;;;;;;;;
0;Montoneri Matteo;De Lorenzo Giorgio;;;;5;10:34;SINGOLO 7,20 Cadetti M;Finale;Sardina Adriano;Milazzo Cristiano;;Pagano Pietro;;;Scaglione Francesco;;;;;;;;;;;;;;;;
0;;;Centineo Riccardo;Ielo Karol;Caiolo Leonardo;6;10:42;SINGOLO Under 17 M;Finale;Cincimino Giuseppe;;;Soraci Angelo;;;Baia Christian;Fugazzotto Lucio;;;;;;;;;;;;;;;
0;;;;;;7;10:50;DUE SENZA Under 17 M;Finale;Magazzu' Stefan;;;Mancuso Andrea;;;;;;;;;;;;;;;;;;;
1;;;;;;7;10:50;DUE SENZA Under 17 M;Finale;Miraglia Luca;;;Pagano Enrico;;;;;;;;;;;;;;;;;;;
0;Bosco Matteo;Schillaci Andrea Giuseppe;;Frisone Riccardo;Basile Mario;8;10:58;DOPPIO Under 19 M;Finale;;Minissale Rocco;;Arena Filippo;;;;;;;;;;;;;;;;;;;
1;Tata Flavio Sebastiano;Lo Piparo Manfredi Nicolo';;Tassone Bruno;Buccheri Francesco;8;10:58;DOPPIO Under 19 M;Finale;;Benedetto Cristian;;Rossi Ettore;;;;;;;;;;;;;;;;;;;
0;Barreca Vittorio;;Puglia Pietro;Arena Trazzi Riccardo;Luna Corrado;9;11:06;QUATTRO DI COPPIA Senior A M;Finale;Amato Federico;Arena Manuel;;Arena Filippo;;;Scaglione Alessio;;;;;;;;;;;;;;;;
1;Fazzina Adriano;;Palmisano Luigi;Bertuccio Giuseppe;Mignemi Umberto;9;11:06;QUATTRO DI COPPIA Senior A M;Finale;Francaviglia Luca;Mauro Pietro;;Maria Antonio;;;Bardetta Antonio;;;;;;;;;;;;;;;;
2;Conti Marco;;Palazzolo Girolamo;De Marco Antonino;Agliastro Stefano;9;11:06;QUATTRO DI COPPIA Senior A M;Finale;D'amico Angelo;Nicita Alberto;;Sansone Marco;;;Manganaro Roberto;;;;;;;;;;;;;;;;
3;Tredici Luca;;Muratore Andrea;Sorrenti Domenico;Bellanca Dario;9;11:06;QUATTRO DI COPPIA Senior A M;Finale;Civiletto Elia;Vita Francesco;;Rossi Ettore;;;D'arrigo Walter;;;;;;;;;;;;;;;;
0;;Piredda Caterina;;Stagno Caterina Maria;;10;11:14;SINGOLO Under 17 F;Finale;;Arena Gaia;;;;;;;Cappellani Ester;;;;;;;;;;;;;;
0;Piazzese Carlotta;Schillaci Beatrice;Mirra Giulia;;;11;11:22;SINGOLO Under 19 F;Finale;Zappulla Bianca;;;;;;;;;;;;;;;;;;;;;;
0;;;Dell'oglio Chiara;;;12;11:22;SINGOLO Senior A F;Finale;;;;Lo Bue Serena;;;;;;;;;;;;;;;;;;;
0;;;;Salpietro Alessandra;;13;11:30;SINGOLO Esordienti F;Finale;;;;;;;;;;Lui Michela;Napoli Benedetta;;;;;;;;;;;;
